&#127894;咪咕直播源,#genre#
CCTV5+体育赛事,https://hlszymgsplive.miguvideo.com:443/wd_r2/cctv/cctv5plusnew/600/index.m3u8?msisdn=202403122000500f481c6594214222aea9fe8b0b1dc9a8&mdspid=&spid=699004&netType=0&sid=5500516288&pid=2028597139&timestamp=20240312200050&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=117.162.79.92&SecurityKey=20240312200050&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=b6f9a2e5f9787b8fde71bcf697393836

CCTV6电影,https://hlszymgsplive.miguvideo.com:443/wd_r2/2018/ocn/cctv6hd/1000/index.m3u8?msisdn=20240312200050c42d4a28672d4eb9af6d08fc9035823c&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20240312200050&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=117.162.79.92&SecurityKey=20240312200050&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=98de24637223ea5e61b4ddc19d1c4897

CCTV7国防军事,https://hlszymgsplive.miguvideo.com:443/migu/kailu/20200324/cctv7hd/50/index.m3u8?msisdn=20240312200050d0dce295287345aebc4cf80a46cdc827&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20240312200050&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=117.162.79.92&SecurityKey=20240312200050&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=b1ca7e27d3851d6d3907c0f01334b34f

CCTV8电视剧,https://hlszymgsplive.miguvideo.com:443/wd_r2/2018/ocn/cctv8hd/1000/index.m3u8?msisdn=20240312200050f4f7dc29c7f846c39bfeaf129c038bc2&mdspid=&spid=699004&netType=0&sid=5500212868&pid=2028597139&timestamp=20240312200050&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=117.162.79.92&SecurityKey=20240312200050&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=cfd63fb7703a61166d446cb3ef42c3ad

CCTV9纪录,https://hlszymgsplive.miguvideo.com:443/migu/kailu/20200324/cctv9hd/50/index.m3u8?msisdn=202403122000500d7f4c513d494a488a9fc7683c107ac5&mdspid=&spid=699004&netType=0&sid=5501083624&pid=2028597139&timestamp=20240312200050&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=117.162.79.92&SecurityKey=20240312200050&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=5efe093b4ae283f3fe9e8927d805bbe4

CCTV10科教,https://hlszymgsplive.miguvideo.com:443/wd_r2/2018/ocn/cctv10hd/1000/index.m3u8?msisdn=20240312200051e8b47baff1f24c4ba8ba245eef24e8b8&mdspid=&spid=699004&netType=0&sid=5500212874&pid=2028597139&timestamp=20240312200051&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=117.162.79.92&SecurityKey=20240312200051&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=01767af58822a66cf26816f792e0417f

CCTV11戏曲,https://hlszymgsplive.miguvideo.com:443/migu/kailu/cctv11hd/50/20200103/index.m3u8?msisdn=202403122000510b67d6e4e5f44c0db4f4e94e1be67294&mdspid=&spid=699004&netType=0&sid=5500988610&pid=2028597139&timestamp=20240312200051&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=117.162.79.92&SecurityKey=20240312200051&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=1f733924a63314ead0bc30981096c679

CCTV12社会与法,https://hlszymgsplive.miguvideo.com:443/migu/kailu/20200324/cctv12hd/50/index.m3u8?msisdn=20240312200051da78e6d728914f50a9468ed470754a96&mdspid=&spid=699004&netType=0&sid=5501083627&pid=2028597139&timestamp=20240312200051&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=673168185&ParentNodeID=-99&assertID=5501083627&client_ip=117.162.79.92&SecurityKey=20240312200051&promotionId=&mvid=5102910389&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=eb894dd8567113b57a97ad0f603c6b8b

CCTV13新闻,https://hlszymgsplive.miguvideo.com:443/envivo_x/2018/SD/cctv13/1000/index.m3u8?msisdn=20240312200051b69fc24a0f844b4cb50abfffab859d79&mdspid=&spid=699004&netType=0&sid=2202208864&pid=2028597139&timestamp=20240312200051&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=608807423&ParentNodeID=-99&assertID=2202208864&client_ip=117.162.79.92&SecurityKey=20240312200051&promotionId=&mvid=2202208864&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=6ebbd2ad806d65660481c2e0fa2fd4a7

CCTV14少儿,https://hlszymgsplive.miguvideo.com:443/wd_r2/2018/ocn/cctv14hd/1000/index.m3u8?msisdn=202403122000519d94cc181ad94fb3baaf6241fa7592ae&mdspid=&spid=699004&netType=0&sid=5500212875&pid=2028597139&timestamp=20240312200051&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=624878440&ParentNodeID=-99&assertID=5500212875&client_ip=117.162.79.92&SecurityKey=20240312200051&promotionId=&mvid=5100001697&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=b98b329f8d1d798fb8c1c969cd93565f

CCTV15音乐,https://hlszymgsplive.miguvideo.com:443/migu/kailu/20200324/cctv15hd/50/index.m3u8?msisdn=202403122000517c9d94f2a34f4f588ec4101257a31ad2&mdspid=&spid=699004&netType=0&sid=5501083628&pid=2028597139&timestamp=20240312200051&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=673168223&ParentNodeID=-99&assertID=5501083628&client_ip=117.162.79.92&SecurityKey=20240312200051&promotionId=&mvid=5102910391&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=2241933f1669b6d069f812851c8023a4

CCTV17农业农村,https://hlszymgsplive.miguvideo.com:443/migu/kailu/20200324/cctv17hd/50/index.m3u8?msisdn=20240312200051222120b0311541ed9fb5b360ba269bff&mdspid=&spid=699004&netType=0&sid=5501083631&pid=2028597139&timestamp=20240312200051&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=673168256&ParentNodeID=-99&assertID=5501083631&client_ip=117.162.79.92&SecurityKey=20240312200051&promotionId=&mvid=5102910396&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=aa31481780625db794db9eea440c3195

CCTV4欧洲,https://hlszymgsplive.miguvideo.com:443/migu/kailu/20200324/cctv4ouhd/50/index.m3u8?msisdn=202403122000510017645481b0475fbbfa1a0354a78a41&mdspid=&spid=699004&netType=0&sid=2200179315&pid=2028597139&timestamp=20240312200051&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=608807419&ParentNodeID=-99&assertID=2200179315&client_ip=117.162.79.92&SecurityKey=20240312200051&promotionId=&mvid=2200179315&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=f7e3f9c421e368368110052eb161f2f0

CCTV4美洲,https://hlszymgsplive.miguvideo.com:443/migu/kailu/20200324/cctv4meihd/50/index.m3u8?msisdn=2024031220005256f7b85e250e439989a3005f9a96ac1e&mdspid=&spid=699004&netType=0&sid=2200179344&pid=2028597139&timestamp=20240312200052&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=608807416&ParentNodeID=-99&assertID=2200179344&client_ip=117.162.79.92&SecurityKey=20240312200052&promotionId=&mvid=2200179344&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=1900b36dd7b5d8493aa38ae3eaf8843a

CCTV老故事,https://hlszymgsplive.miguvideo.com:443/migu/kailu/cctvlaogushi/50/20231109/index.m3u8?msisdn=202403122000528ef3a0ef604e499eb7c01722f899bf1c&mdspid=&spid=699004&netType=0&sid=5910022002&pid=2028597139&timestamp=20240312200052&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=884121956&ParentNodeID=-99&assertID=5910022002&client_ip=117.162.79.92&SecurityKey=20240312200052&promotionId=&mvid=5900006372&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=8759f6fd86e2ebd8898d479377321096

CCTV9Documentary,https://hlszymgsplive.miguvideo.com:443/envivo_v/2018/SD/cctv/doc/1000/index.m3u8?msisdn=20240312200052957c5db1f3104d20b85bc248fbc737e8&mdspid=&spid=699004&netType=0&sid=2200179356&pid=2028597139&timestamp=20240312200052&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=609006487&ParentNodeID=-99&assertID=2200179356&client_ip=117.162.79.92&SecurityKey=20240312200052&promotionId=&mvid=2200179356&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=32efd8ae5c1891fd73039907ce13d31a

CCTV阿拉伯语,https://hlszymgsplive.miguvideo.com:443/envivo_v/SD/cctv/alabo/1000/index.m3u8?msisdn=202403122000527af9bafe82844512b9c7b5f5185546e9&mdspid=&spid=699004&netType=0&sid=2200179303&pid=2028597139&timestamp=20240312200052&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=609154345&ParentNodeID=-99&assertID=2200179303&client_ip=117.162.79.92&SecurityKey=20240312200052&promotionId=&mvid=2200179303&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=189cff297bbd412a603a06f8aa9e13f8

CCTV西班牙语,https://hlszymgsplive.miguvideo.com:443/envivo_v/2018/SD/cctv/xibanya/1000/index.m3u8?msisdn=20240312200052ce3b90d70dbc45929da6041ed0fb9a01&mdspid=&spid=699004&netType=0&sid=2200179337&pid=2028597139&timestamp=20240312200052&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=609006450&ParentNodeID=-99&assertID=2200179337&client_ip=117.162.79.92&SecurityKey=20240312200052&promotionId=&mvid=2200179337&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=6e4511ad65bdc2df5f0555b55879a200

CCTV法语,https://hlszymgsplive.miguvideo.com:443/envivo_v/2018/SD/cctv/fayu/1000/index.m3u8?msisdn=20240312200052982ce8e88b91433a8fe66590ab1ab1b2&mdspid=&spid=699004&netType=0&sid=2200179324&pid=2028597139&timestamp=20240312200052&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=609006476&ParentNodeID=-99&assertID=2200179324&client_ip=117.162.79.92&SecurityKey=20240312200052&promotionId=&mvid=2200179324&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=0959cbc02452fae313a5e611e03c4f75

CCTV俄语,https://hlszymgsplive.miguvideo.com:443/envivo_v/2018/SD/cctv/eyu/1000/index.m3u8?msisdn=20240312200053e4fd7760ec3745fa92a86f43b1454540&mdspid=&spid=699004&netType=0&sid=2200179332&pid=2028597139&timestamp=20240312200053&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=609006446&ParentNodeID=-99&assertID=2200179332&client_ip=117.162.79.92&SecurityKey=20240312200053&promotionId=&mvid=2200179332&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=c1cae01135c6525c9d634ae150d3a882

CCTV发现之旅,https://hlszymgsplive.miguvideo.com:443/wd_r3/cnr/faxianzhilv/1000/index.m3u8?msisdn=202403122000538bac8af859dc4b48b7b475da94eb6ee7&mdspid=&spid=699004&netType=0&sid=5500212893&pid=2028597139&timestamp=20240312200053&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=624878970&ParentNodeID=-99&assertID=5500212893&client_ip=117.162.79.92&SecurityKey=20240312200053&promotionId=&mvid=5100001701&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=29fe451b61acc70b90b67bf7b2c4a449

CCTV中学生,https://hlszymgsplive.miguvideo.com:443/migu/kailu/20210415/cctvzhongxuesheng/50/index.m3u8?msisdn=202403122000531632c97312b7461e98abd10e6bc2af2f&mdspid=&spid=699004&netType=0&sid=5910019355&pid=2028597139&timestamp=20240312200053&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=708869532&ParentNodeID=-99&assertID=5910019355&client_ip=117.162.79.92&SecurityKey=20240312200053&promotionId=&mvid=5900002149&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=1ae99fa73efaea641806fc4b17f8b935

CGTN,https://hlszymgsplive.miguvideo.com:443/envivo_x/2018/SD/cctvnews/1000/index.m3u8?msisdn=2024031220005329fc6e14638f4528bc7767045ce21f25&mdspid=&spid=699004&netType=0&sid=2202196407&pid=2028597139&timestamp=20240312200053&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=609017205&ParentNodeID=-99&assertID=2202196407&client_ip=117.162.79.92&SecurityKey=20240312200053&promotionId=&mvid=2202196407&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=801e32a4e525035d893f3916763d5db9

0｜卫视,#genre#

江苏卫视,https://hlszymgsplive.miguvideo.com:443/wd_r2/cctv/jiangsuhd/600/index.m3u8?msisdn=2024031220012525b60903998b4e27a2f464d930a5c7f8&mdspid=&spid=699067&netType=0&sid=5500199408&pid=2028597139&timestamp=20240312200125&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=623899368&ParentNodeID=-99&assertID=5500199408&client_ip=117.162.79.92&SecurityKey=20240312200125&promotionId=&mvid=5100156802&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=c1efaad9cfa2ac01acc8ac02dae194e5

辽宁卫视,https://hlszymgsplive.miguvideo.com:443/wd_r2/2018/ocn/liaoningwshd/1000/index.m3u8?msisdn=20240312200125f491305b4cd743f89042a270dd7b782b&mdspid=&spid=800033&netType=0&sid=5500321234&pid=2028597139&timestamp=20240312200125&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=630291707&ParentNodeID=-99&assertID=5500321234&client_ip=117.162.79.92&SecurityKey=20240312200125&promotionId=&mvid=5101043014&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=d59979522fe792e0e53ffde289d03d13

江西卫视,https://hlszymgsplive.miguvideo.com:443/migu/kailu/jxwshd/50/20190820/index.m3u8?msisdn=202403122001259adb0dd494e7478ca6f0298d7c6a7a45&mdspid=&spid=600633&netType=0&sid=5910021492&pid=2028597139&timestamp=20240312200125&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=783847495&ParentNodeID=-99&assertID=5910021492&client_ip=117.162.79.92&SecurityKey=20240312200125&promotionId=&mvid=5900004351&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=c09db4268619a8ccc7c38ea6fd085143

山东卫视,https://hlszymgsplive.miguvideo.com:443/wd-shandonghd-600/index.m3u8?msisdn=202403122001263370bec5da5a459eb812fcfeb99be66b&mdspid=&spid=600633&netType=0&sid=5910020470&pid=2028597139&timestamp=20240312200126&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=738910366&ParentNodeID=-99&assertID=5910020470&client_ip=117.162.79.92&SecurityKey=20240312200126&promotionId=&mvid=5900004325&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=cbc89f268abe8d608c8fbb49928b43cf

河南卫视,https://hlszymgsplive.miguvideo.com:443/wd-henanwssd-600/index.m3u8?msisdn=2024031220012646537b9e6626443793ac4457fb7859fd&mdspid=&spid=600633&netType=0&sid=5910021585&pid=2028597139&timestamp=20240312200126&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=790187291&ParentNodeID=-99&assertID=5910021585&client_ip=117.162.79.92&SecurityKey=20240312200126&promotionId=&mvid=5900005706&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=3fc8f0bb08e36bb1789f9076aac9100c

重庆卫视,https://hlszymgsplive.miguvideo.com:443/envivo_x/2018/SD/chongqing/1000/index.m3u8?msisdn=2024031220012661166ccea99c437e83ce7e904647048a&mdspid=&spid=600633&netType=0&sid=5910020476&pid=2028597139&timestamp=20240312200126&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=738910914&ParentNodeID=-99&assertID=5910020476&client_ip=117.162.79.92&SecurityKey=20240312200126&promotionId=&mvid=5900004329&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=6009b44a60fa76dbdf360070352e1980

陕西卫视,https://hlszymgsplive.miguvideo.com:443/migu/kailu/shan3xiws/50/20220809/index.m3u8?msisdn=2024031220012697db3ccdc5394c1da6e7c417ad60c9cc&mdspid=&spid=600633&netType=0&sid=5910020475&pid=2028597139&timestamp=20240312200126&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=738910838&ParentNodeID=-99&assertID=5910020475&client_ip=117.162.79.92&SecurityKey=20240312200126&promotionId=&mvid=5900004331&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=57e9641f35f818e978b5270207a1e66f

海南卫视,https://hlszymgsplive.miguvideo.com:443/envivo_x/SD/lvyou/711/index.m3u8?msisdn=202403122001263f9d35c6184a4c4693e5106038adeaec&mdspid=&spid=600632&netType=0&sid=5910020464&pid=2028597139&timestamp=20240312200126&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=738906860&ParentNodeID=-99&assertID=5910020464&client_ip=117.162.79.92&SecurityKey=20240312200126&promotionId=&mvid=5900004359&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=16106b6cbc53b014c56ad800be833d5a

大湾区卫视,https://hlszymgsplive.miguvideo.com:443/wd_r3/2018/nfmedia/nfws/1000/index.m3u8?msisdn=202403122001267979bab0bc944032917e41788c536e4b&mdspid=&spid=699054&netType=0&sid=2200322852&pid=2028597139&timestamp=20240312200126&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=608917627&ParentNodeID=-99&assertID=2200322852&client_ip=117.162.79.92&SecurityKey=20240312200126&promotionId=&mvid=2200322852&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=143f38fa63a9607a2276ffea7707a093

湖北卫视,https://hlszymgsplive.miguvideo.com:443/wd_r2/2018/ocn/hubeiwshd/1000/index.m3u8?msisdn=2024031220012762ea385fb23a41fe831f3e11e6038287&mdspid=&spid=600632&netType=0&sid=5910020463&pid=2028597139&timestamp=20240312200127&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=738906825&ParentNodeID=-99&assertID=5910020463&client_ip=117.162.79.92&SecurityKey=20240312200127&promotionId=&mvid=5900004355&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=48dfc489d8c0bbc6423054ea180dac04

内蒙古卫视,https://hlszymgsplive.miguvideo.com:443/envivo_w/2018/SD/neimeng/1000/index.m3u8?msisdn=20240312200127011ab101f055475ca6b128fd396cd582&mdspid=&spid=600633&netType=0&sid=5910020478&pid=2028597139&timestamp=20240312200127&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=738911430&ParentNodeID=-99&assertID=5910020478&client_ip=117.162.79.92&SecurityKey=20240312200127&promotionId=&mvid=5900004335&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=e116dd9815b9ebfe3631802cfc849fbb

甘肃卫视,https://hlszymgsplive.miguvideo.com:443/envivo_v/2018/SD/gansu/1000/index.m3u8?msisdn=202403122001275e7d365329844e5a80f3f39ac321f0df&mdspid=&spid=600633&netType=0&sid=5910020477&pid=2028597139&timestamp=20240312200127&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=738910997&ParentNodeID=-99&assertID=5910020477&client_ip=117.162.79.92&SecurityKey=20240312200127&promotionId=&mvid=5900004333&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=5e860c500d3eb41d3393a66e36109178

新疆卫视,https://hlszymgsplive.miguvideo.com:443/wd-xinjiangwssd-600/index.m3u8?msisdn=20240312200127a233cabe31764a279810d3074c84b769&mdspid=&spid=600633&netType=0&sid=5910020472&pid=2028597139&timestamp=20240312200127&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=738910476&ParentNodeID=-99&assertID=5910020472&client_ip=117.162.79.92&SecurityKey=20240312200127&promotionId=&mvid=5900004341&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=39077294b11c8b0987ae6f96e78cd6cf

西藏卫视,https://hlszymgsplive.miguvideo.com:443/envivo_x/2018/SD/xizang/1000/index.m3u8?msisdn=202403122001277724d6f647f3481587abc813df3c9769&mdspid=&spid=600633&netType=0&sid=5910020471&pid=2028597139&timestamp=20240312200127&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=738910461&ParentNodeID=-99&assertID=5910020471&client_ip=117.162.79.92&SecurityKey=20240312200127&promotionId=&mvid=5900004339&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=4f473c8bf9106db20bfe8e3dfd0c7d71

宁夏卫视,https://hlszymgsplive.miguvideo.com:443/envivo_x/2018/SD/ningxia/1000/index.m3u8?msisdn=20240312200127a4a3a04728a04f96b856032cb247dbec&mdspid=&spid=600633&netType=0&sid=5910020473&pid=2028597139&timestamp=20240312200127&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=738910535&ParentNodeID=-99&assertID=5910020473&client_ip=117.162.79.92&SecurityKey=20240312200127&promotionId=&mvid=5900004337&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=a32af8bab9e5adf26d7e48a6761247ce

广西卫视,https://hlszymgsplive.miguvideo.com:443/wd-guangxiwssd-600/index.m3u8?msisdn=20240312200127a8ff4ccb89604596a89a16579c4bac40&mdspid=&spid=600633&netType=0&sid=5910021489&pid=2028597139&timestamp=20240312200127&Channel_ID=0116_25000000-99000-100300010010001&ProgramID=783844132&ParentNodeID=-99&assertID=5910021489&client_ip=117.162.79.92&SecurityKey=20240312200127&promotionId=&mvid=5900004343&mcid=500020&playurlVersion=WX-A1-7.2.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=5ed20f18a353e5d290be0a42077214db

