
江西本地,#genre#
CCTV13,rtsp://115.153.230.145/PLTV/88888888/224/3221227037/87447722.smil
CCTV-14,rtsp://115.153.230.145/PLTV/88888888/224/3221226634/51813368.smil
CCTV15,rtsp://115.153.230.145/PLTV/88888888/224/3221226988/85722541.smil
CCTV16-4K,rtsp://115.153.230.145/PLTV/88888888/224/3221227051/92603106.smil
CCTV17,rtsp://115.153.230.145/PLTV/88888888/224/3221226846/61397282.smil

各省卫视,#genre#
湖南卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221225697/iptv8039.smil
浙江卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225768/10000100000000060000000000913518_0.smil
江苏卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225766/10000100000000060000000000913517_0.smil
东方卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225770/10000100000000060000000000913526_0.smil
北京卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225546/iptv51912.smil
广东卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225957/10000100000000060000000000913519_0.smil
深圳卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225764/10000100000000060000000000913503_0.smil
湖北卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225827/10000100000000060000000000470332_2.smil
天津卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221226652/46098366.smil
安徽卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221226622/51176344.smil
辽宁卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221226649/46098370.smil
山东卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225919/10000100000000060000000000811554_0.smil
黑龙江卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225584/10000100000000060000000000031778_0.smil
东南卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221226677/51176347.smil
云南卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221226937/72640386.smil
吉林卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221226831/59814731.smil
西藏卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225570/iptv101725.smil
广西卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221226954/71778425.smil
宁夏卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225747/iptv101619.smil
河南卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221226842/59814787.smil
重庆卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221226638/51813388.smil
甘肃卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221227039/87447727.smil
海南卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221226933/70442779.smil
四川卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221226693/51813384.smil
山西卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221225551/iptv7966.smil
贵州卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221226833/59814738.smil
青海卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221225589/iptv7985.smil
陕西卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225755/iptv101726.smil
内蒙古卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221225591/iptv7986.smil
新疆卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225550/iptv61197.smil
兵团卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225753/iptv101723.smil
河北卫视,rtsp://115.153.230.145/PLTV/88888888/224/3221226821/59781859.smil
金鹰纪实,rtsp://115.153.230.145/PLTV/88888888/224/3221226823/59781863.smil
先锋乒羽,rtsp://115.153.230.145/PLTV/88888888/224/3221226935/72307307.smil

少儿频道,#genre#
CCTV-14,rtsp://115.153.230.145/PLTV/88888888/224/3221226634/51813368.smil
金鹰卡通,rtsp://115.153.230.145/PLTV/88888888/224/3221226972/80382319.smil
炫动卡通,rtsp://115.153.230.145/PLTV/88888888/224/3221225583/iptv7982.smil
卡酷卡通,rtsp://115.153.245.70/PLTV/88888888/224/3221225566/iptv101695.smil
嘉佳卡通,rtsp://115.153.245.70/PLTV/88888888/224/3221225588/10000100000000060000000000140157_0.smil

